시군구별,연료별,용도별,승용,승합,화물,특수,계
강화군,전기,비사업용,570,0,536,1,1107
강화군,전기,사업용,1507,24,53,0,1584
옹진군,전기,비사업용,106,0,58,0,164
옹진군,전기,사업용,10,0,4,0,14
중구,전기,비사업용,1559,4,241,0,1804
중구,전기,사업용,78,26,126,0,230
동구,전기,비사업용,214,0,88,2,304
동구,전기,사업용,93,0,54,0,147
미추홀구,전기,비사업용,1486,0,414,1,1901
미추홀구,전기,사업용,568,0,273,0,841
연수구,전기,비사업용,5914,5,408,1,6328
연수구,전기,사업용,382,95,142,0,619
남동구,전기,비사업용,4770,0,762,2,5534
남동구,전기,사업용,1106,16,272,0,1394
부평구,전기,비사업용,2705,0,441,1,3147
부평구,전기,사업용,655,12,274,0,941
계양구,전기,비사업용,985,1,889,1,1876
계양구,전기,사업용,7393,0,217,0,7610
서구,전기,비사업용,4660,7,1116,5,5788
서구,전기,사업용,586,96,432,0,1114
