charger_uid,statId,statNm,addr,district_before_correction,district_final,lat_before_correction,lng_before_correction,lat,lng,district_corrected,coordinate_corrected,correction_reason
KP001383_04,KP001383,서창현대모닝사이드,인천광역시 남동구 서창동 매소홀로 1103,제물포구,남동구,37.4390311867,126.7464195714,37.4390311867,126.7464195714,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP001394_01,KP001394,에코메트로3차더타워 아파트,인천광역시 남동구 논현동 소래역남로 40,제물포구,남동구,37.4000506589,126.7321761055,37.4000506589,126.7321761055,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP001394_02,KP001394,에코메트로3차더타워 아파트,인천광역시 남동구 논현동 소래역남로 40,제물포구,남동구,37.4000506589,126.7321761055,37.4000506589,126.7321761055,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP001394_03,KP001394,에코메트로3차더타워 아파트,인천광역시 남동구 논현동 소래역남로 40,제물포구,남동구,37.4000506589,126.7321761055,37.4000506589,126.7321761055,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP001394_04,KP001394,에코메트로3차더타워 아파트,인천광역시 남동구 논현동 소래역남로 40,제물포구,남동구,37.4000506589,126.7321761055,37.4000506589,126.7321761055,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP001865_01,KP001865,에코메트로한화12단지관리소,인천광역시 남동구 논현동 논고개로 10,제물포구,남동구,37.3978772427,126.7337016952,37.3978772427,126.7337016952,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP001865_02,KP001865,에코메트로한화12단지관리소,인천광역시 남동구 논현동 논고개로 10,제물포구,남동구,37.3978772427,126.7337016952,37.3978772427,126.7337016952,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP001865_03,KP001865,에코메트로한화12단지관리소,인천광역시 남동구 논현동 논고개로 10,제물포구,남동구,37.3978772427,126.7337016952,37.3978772427,126.7337016952,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP001865_04,KP001865,에코메트로한화12단지관리소,인천광역시 남동구 논현동 논고개로 10,제물포구,남동구,37.3978772427,126.7337016952,37.3978772427,126.7337016952,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP001865_05,KP001865,에코메트로한화12단지관리소,인천광역시 남동구 논현동 논고개로 10,제물포구,남동구,37.3978772427,126.7337016952,37.3978772427,126.7337016952,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP002290_01,KP002290,구월힐스테이트1단지,인천광역시 남동구 구월동 구월로 192,제물포구,남동구,37.45648219,126.7104372005,37.45648219,126.7104372005,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP002290_02,KP002290,구월힐스테이트1단지,인천광역시 남동구 구월동 구월로 192,제물포구,남동구,37.45648219,126.7104372005,37.45648219,126.7104372005,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP002290_03,KP002290,구월힐스테이트1단지,인천광역시 남동구 구월동 구월로 192,제물포구,남동구,37.45648219,126.7104372005,37.45648219,126.7104372005,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP002291_01,KP002291,한화에코메트로5단지아파트,인천광역시 남동구 논현동 소래역남로 39,제물포구,남동구,37.3985556399,126.7308849126,37.3985556399,126.7308849126,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP002291_02,KP002291,한화에코메트로5단지아파트,인천광역시 남동구 논현동 소래역남로 39,제물포구,남동구,37.3985556399,126.7308849126,37.3985556399,126.7308849126,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP002291_03,KP002291,한화에코메트로5단지아파트,인천광역시 남동구 논현동 소래역남로 39,제물포구,남동구,37.3985556399,126.7308849126,37.3985556399,126.7308849126,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP002385_01,KP002385,서창 서해그랑블,인천광역시 남동구 서창동 독곡로48번길 9,제물포구,남동구,37.4351151094,126.7471333321,37.4351151094,126.7471333321,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP002385_02,KP002385,서창 서해그랑블,인천광역시 남동구 서창동 독곡로48번길 9,제물포구,남동구,37.4351151094,126.7471333321,37.4351151094,126.7471333321,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP002385_03,KP002385,서창 서해그랑블,인천광역시 남동구 서창동 독곡로48번길 9,제물포구,남동구,37.4351151094,126.7471333321,37.4351151094,126.7471333321,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP002650_01,KP002650,구월 아시아드선수촌 1단지,인천광역시 남동구 구월동 선수촌공원로 85,제물포구,남동구,37.4466175099,126.7117409235,37.4466175099,126.7117409235,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP002650_02,KP002650,구월 아시아드선수촌 1단지,인천광역시 남동구 구월동 선수촌공원로 85,제물포구,남동구,37.4466175099,126.7117409235,37.4466175099,126.7117409235,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP002650_03,KP002650,구월 아시아드선수촌 1단지,인천광역시 남동구 구월동 선수촌공원로 85,제물포구,남동구,37.4466175099,126.7117409235,37.4466175099,126.7117409235,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP002650_04,KP002650,구월 아시아드선수촌 1단지,인천광역시 남동구 구월동 선수촌공원로 85,제물포구,남동구,37.4466175099,126.7117409235,37.4466175099,126.7117409235,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP002673_01,KP002673,구월아시아드선수촌6단지,인천광역시 남동구 구월동 선수촌로 27,제물포구,남동구,37.4414808168,126.71284092,37.4414808168,126.71284092,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP002673_02,KP002673,구월아시아드선수촌6단지,인천광역시 남동구 구월동 선수촌로 27,제물포구,남동구,37.4414808168,126.71284092,37.4414808168,126.71284092,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
