district_2024,passenger_ev_count,van_ev_count,truck_ev_count,special_ev_count,total_ev_count,private_ev_count,commercial_ev_count,commercial_ev_ratio_percent
계양구,8378,1,1106,1,9486,1876,7610,80.22
연수구,6296,100,550,1,6947,6328,619,8.91
남동구,5876,16,1034,2,6928,5534,1394,20.12
서구,5246,103,1548,5,6902,5788,1114,16.14
부평구,3360,12,715,1,4088,3147,941,23.02
미추홀구,2054,0,687,1,2742,1901,841,30.67
강화군,2077,24,589,1,2691,1107,1584,58.86
중구,1637,30,367,0,2034,1804,230,11.31
동구,307,0,142,2,451,304,147,32.59
옹진군,116,0,62,0,178,164,14,7.87
