statNm,statId,chgerId,chgerType,addr,addrDetail,location,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,floorNum,floorType,maker,charger_uid,coordinate_missing,coordinate_outlier,district_by_code,district_from_address,district_address_normalized,district_mismatch,is_deleted,is_limited,is_active_record,usable_for_spatial_analysis,district_before_correction,lat_before_correction,lng_before_correction,district_corrected,coordinate_corrected,correction_reason,district_final,coordinate_missing_final,coordinate_outlier_final,usable_for_district_analysis,usable_for_spatial_analysis_final,publicly_accessible,boundary_base_date,district_2024,district_code_2024,geometry_fixed,boundary_match_status
송도더샵그린스퀘어 T16기둥,IM000203,3,2,인천광역시 연수구 송도문화로28번길 81,송도더샵그린스퀘어,지하1층 I11기둥,37.3,126.6,24시간 이용가능,IM,아이마켓코리아,아이마켓코리아,02-3708-5678,2,2026-07-09 07:39:53,2026-07-08 23:34:02,2026-07-09 07:39:03,,,7.0,단독,28,28185,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2024,1,B,,IM000203_03,False,False,연수구,연수구,연수구,False,False,True,True,True,연수구,37.3,126.6,False,False,,연수구,False,False,True,True,False,,,,,unmatched
송도더샵그린스퀘어 T16기둥,IM000203,4,2,인천광역시 연수구 송도문화로28번길 81,송도더샵그린스퀘어,지하1층 I11기둥,37.3,126.6,24시간 이용가능,IM,아이마켓코리아,아이마켓코리아,02-3708-5678,2,2026-07-16 05:48:45,2026-07-16 00:20:42,2026-07-16 05:49:23,,,7.0,단독,28,28185,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2024,1,B,,IM000203_04,False,False,연수구,연수구,연수구,False,False,True,True,True,연수구,37.3,126.6,False,False,,연수구,False,False,True,True,False,,,,,unmatched
송도더샵그린스퀘어 T16기둥,IM000204,1,2,인천광역시 연수구 송도문화로28번길 81,송도더샵그린스퀘어,지하1층 H11기둥,37.3,126.6,24시간 이용가능,IM,아이마켓코리아,아이마켓코리아,02-3708-5678,2,2026-07-14 08:06:54,2026-07-14 00:22:47,2026-07-14 08:09:06,,,7.0,단독,28,28185,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2024,1,B,,IM000204_01,False,False,연수구,연수구,연수구,False,False,True,True,True,연수구,37.3,126.6,False,False,,연수구,False,False,True,True,False,,,,,unmatched
송도더샵그린스퀘어 T16기둥,IM000204,2,2,인천광역시 연수구 송도문화로28번길 81,송도더샵그린스퀘어,지하1층 H11기둥,37.3,126.6,24시간 이용가능,IM,아이마켓코리아,아이마켓코리아,02-3708-5678,2,2026-07-16 00:15:46,2026-07-15 19:16:16,2026-07-16 00:17:25,,,7.0,단독,28,28185,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2024,1,B,,IM000204_02,False,False,연수구,연수구,연수구,False,False,True,True,True,연수구,37.3,126.6,False,False,,연수구,False,False,True,True,False,,,,,unmatched
송도더샵그린스퀘어 T16기둥,IM000204,3,2,인천광역시 연수구 송도문화로28번길 81,송도더샵그린스퀘어,지하1층 H11기둥,37.3,126.6,24시간 이용가능,IM,아이마켓코리아,아이마켓코리아,02-3708-5678,2,2026-07-14 02:03:48,2026-07-13 17:46:00,2026-07-14 02:04:38,,,7.0,단독,28,28185,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2024,1,B,,IM000204_03,False,False,연수구,연수구,연수구,False,False,True,True,True,연수구,37.3,126.6,False,False,,연수구,False,False,True,True,False,,,,,unmatched
송도더샵그린스퀘어 T15기둥,IM000205,1,2,인천광역시 연수구 송도문화로28번길 81,송도더샵그린스퀘어,지하1층 G16기둥,37.3,126.6,24시간 이용가능,IM,아이마켓코리아,아이마켓코리아,02-3708-5678,2,2026-07-15 00:36:29,2026-07-14 19:13:34,2026-07-15 00:38:43,,,7.0,단독,28,28185,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2024,1,B,,IM000205_01,False,False,연수구,연수구,연수구,False,False,True,True,True,연수구,37.3,126.6,False,False,,연수구,False,False,True,True,False,,,,,unmatched
송도더샵그린스퀘어 T15기둥,IM000205,2,2,인천광역시 연수구 송도문화로28번길 81,송도더샵그린스퀘어,지하1층 G16기둥,37.3,126.6,24시간 이용가능,IM,아이마켓코리아,아이마켓코리아,02-3708-5678,2,2026-07-15 19:39:30,2026-07-15 18:44:12,2026-07-15 19:43:42,,,7.0,단독,28,28185,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2024,1,B,,IM000205_02,False,False,연수구,연수구,연수구,False,False,True,True,True,연수구,37.3,126.6,False,False,,연수구,False,False,True,True,False,,,,,unmatched
송도더샵그린스퀘어 T15기둥,IM000205,3,2,인천광역시 연수구 송도문화로28번길 81,송도더샵그린스퀘어,지하1층 G16기둥,37.3,126.6,24시간 이용가능,IM,아이마켓코리아,아이마켓코리아,02-3708-5678,2,2026-06-22 08:36:51,2026-05-23 09:58:39,2026-05-23 09:58:42,,,7.0,단독,28,28185,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2024,1,B,,IM000205_03,False,False,연수구,연수구,연수구,False,False,True,True,True,연수구,37.3,126.6,False,False,,연수구,False,False,True,True,False,,,,,unmatched
송도더샵그린스퀘어 T15기둥,IM000205,4,2,인천광역시 연수구 송도문화로28번길 81,송도더샵그린스퀘어,지하1층 G16기둥,37.3,126.6,24시간 이용가능,IM,아이마켓코리아,아이마켓코리아,02-3708-5678,2,2026-07-13 02:00:47,2026-07-12 18:38:22,2026-07-13 01:59:41,,,7.0,단독,28,28185,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2024,1,B,,IM000205_04,False,False,연수구,연수구,연수구,False,False,True,True,True,연수구,37.3,126.6,False,False,,연수구,False,False,True,True,False,,,,,unmatched
송도더샵그린스퀘어 T15기둥,IM000205,5,2,인천광역시 연수구 송도문화로28번길 81,송도더샵그린스퀘어,지하1층 G16기둥,37.3,126.6,24시간 이용가능,IM,아이마켓코리아,아이마켓코리아,02-3708-5678,2,2026-06-11 02:18:41,2026-04-13 23:28:45,2026-04-14 07:56:44,,,7.0,단독,28,28185,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2024,1,B,,IM000205_05,False,False,연수구,연수구,연수구,False,False,True,True,True,연수구,37.3,126.6,False,False,,연수구,False,False,True,True,False,,,,,unmatched
