station_id,station_name,district_2024,latitude,longitude,charger_count,public_charger_count,nearest_station_distance_m,representative_address
CU320002,강나루풍천장어,강화군,37.619552,126.53395,2,2,377.88,인천광역시 강화군 길상면 해안남로 92-6 강나루풍천장어 입구 주차장
PI320060,인천시 강화군 크루즈모텔,강화군,37.62050583,126.5380603,2,2,377.88,인천광역시 강화군 길상면 해안남로117번길 29-26 주차장
EO000029,E1 인천개인택시 복지제3충전소 전기차충전소,남동구,37.431685,126.707689,8,8,377.54,인천광역시 남동구 남동대로 551 E1 LPG 충전소 내부에 위치
EC280162,계양공원 숲속교실,계양구,37.5463577,126.7123465,1,1,373.87,인천광역시 계양구 경명대로955번길 17
ME22C122,남청라영업소,서구,37.5152149,126.6207346,1,1,372.49,인천광역시 서해구 청라동 194-2
PL005302,창업벤처녹색융합클러스터,서구,37.5698085,126.6455084,9,0,371.06,인천광역시 검단구 정서진로 410
ME25A160,물환경관,서구,37.5684444,126.6416722,1,1,371.06,"인천광역시 검단구 환경로 42 (오류동,국립생물자원관)"
PI775182,BMW차징스테이션 오션포레베네스트하우스,중구,37.5249816,126.5069362,31,0,363.7,인천광역시 영종구 자연대로 667 지상1층 주차장
ST281101,CU미단유커타운점,중구,37.528062,126.505529,1,1,363.7,인천광역시 영종구 자연대로 701 CU미단유커타운점 지상주차장(건물 벽편)
ICIA0017,인천공항 남측 화물터미널 3,중구,37.461897,126.467267,18,18,358.77,인천광역시 영종구 운서동 2851-134 대한항공 카고 앞
LU100412,씨제이제일제당인천2공장,중구,37.43983441,126.6246297,5,5,355.2,인천광역시 제물포구 서해대로140번길 49 관리초소 앞 주차장
PI320063,인천시 강화군 장어마을,강화군,37.61002292,126.5202218,2,2,352.27,인천광역시 강화군 길상면 해안남로 298 주차장
PIH01310,호세요양원,강화군,37.674166,126.4779475,2,1,351.55,인천광역시 강화군 불은면 고려왕릉로 375 D동 1층 주차장입구
SF002824,경기도학생교육원 (완속충전기),강화군,37.677212517,126.47685293,1,1,351.55,인천광역시 강화군 불은면 고려왕릉로 419 경기도학생교육원 (완속충전기)
EZ000505,옛날에금잔디,강화군,37.7161209,126.3892378,1,1,350.65,인천광역시 강화군 내가면 강화서로225번길 18-1 농업전기 간이 전주 부근
KP004584,내기면사무소,강화군,37.719236955,126.38989996,1,1,350.65,인천광역시 강화군 내가면 강화서로 249
PI747020,BMW차징스테이션 이비스스타일앰배서더 by바바리안모터스,중구,37.481155003,126.42010631,4,4,347.48,인천광역시 영종구 제2터미널대로 340 입구 좌측편 지상주차장
ST600044,HD현대오일뱅크 서곶길충전소,서구,37.6094339,126.6442436,4,4,346.94,인천광역시 검단구 봉수대로 1539 지상 주차장
EP200218,인천 어르니펜션,옹진군,37.2712257,126.4481869,2,0,339.42,인천광역시 옹진군 영흥면 영흥로757번길 52 구내주차장
ME19Y258,선재어촌계,옹진군,37.232786,126.537299,2,2,332.5,인천광역시 옹진군 영흥면 선재로 5
ME25A123,E-share 강화군장애인복지관,강화군,37.7355122,126.4816011,1,1,331.79,인천광역시 강화군 강화읍 남산리 357-4
KP004582,화도면사무소,강화군,37.6320607,126.4200823,1,1,330.64,인천광역시 강화군 화도면 마니산로 703-14
ME25A157,월미공원역,중구,37.4762362,126.6061732,1,1,324.58,인천광역시 제물포구 월미로 482 (북성동1가)
PC000756,중식당 신(인천),강화군,37.6392785,126.4873655,1,1,323.13,인천광역시 강화군 길상면 온수길 66 지상 1층 주차장
PIS00399,인천 강화군 SSG퓨처스필드,강화군,37.6378225,126.4987421,3,0,319.18,인천광역시 강화군 길상면 길상로 242-30 주차장
EV013665,인천중구 백마종합물류O4O5,중구,37.4878821,126.4710609,2,2,318.97,인천광역시 영종구 자유무역로 254 경비실 옆 지상주차장
PI802844,CJ대한통운인천공항특송센터,중구,37.486357,126.474119,3,3,318.97,인천광역시 영종구 자유무역로 277 본관 건물 뒤 지상주차장
ER280108,꿈길속에펜션,강화군,37.5955488,126.4620335,1,1,313.87,인천광역시 강화군 화도면 해안남로 1374-5 건물 옆 지상1층주차장
ST601284,서경택시,서구,37.5006562,126.6601149,2,2,310.0,인천광역시 서해구 봉수대로 277번길 12 택시회사
NS850074,인천체육고등학교,서구,37.545925,126.6094511,3,3,308.13,인천광역시 서해구 로봇랜드로 473 주차장
EC280105,인천환경공단 공촌사업소 (급),서구,37.5453058,126.606051,4,4,308.13,인천광역시 서해구 청라동 5-1
BNBN1304,인천 남동구 고잔동 남동산단5호 공영주차장,남동구,37.3957508,126.6837319,2,2,307.63,인천광역시 남동구 고잔동 697-20 고잔동 697-21
PI320362,인천시 남동구 남동우리타운,남동구,37.3982304,126.6821765,2,2,307.63,인천광역시 남동구 남동서로53번길 38 지상1층 출입구옆
HM001791,인천아시아드주경기장 B주차장,서구,37.54907233,126.66518888,6,6,306.22,인천광역시 서해구 봉수대로 806 지상 B주차장
EV011550,인천미추홀 더리치타운2차,미추홀구,37.4358324,126.6798672,2,2,304.84,인천광역시 미추홀구 소성로294번길 41 주차장 출입구 좌측 기둥
MO281401,현대두산인프라코어,동구,37.4889673,126.6272146,11,0,301.67,인천광역시 제물포구 인중로 489 지상1층 외부 주차장
CV000662,인천항만공사,연수구,37.420644,126.603241,2,0,295.57,인천광역시 연수구 국제항만대로326번길 29 인천항만공사(일반인출입금지) 지상1층 주차장
KP005635,국제여객터미널_인천,연수구,37.42,126.6,1,1,295.57,인천광역시 연수구 국제항만대로326번길 57
CV001065,인천 서부교육지원청,서구,37.55238,126.687954,2,2,295.34,인천광역시 서해구 경명대로 713 인천서부교육지원청
LU003394,공촌경남아파트,서구,37.551095,126.685026,5,0,295.34,인천광역시 서해구 경명대로694번길 10 101동 뒤 지상주차장  103동 옆 지상주차장
TDG00001,주식회사 철물마트,서구,37.584693,126.661085,1,1,294.54,인천광역시 검단구 봉수대로 1213 철물마트
PI645198,인천시 서구 미래복지요양센터,서구,37.5840202,126.6643119,4,4,294.54,인천광역시 검단구 드림로 227 3주차장 지상1층
NT101218,인천 오덕프라자,서구,37.59421274,126.61231922,6,6,292.54,인천광역시 검단구 보듬5로 5 4F주차장
EC280049,검단지식산업센터,서구,37.5958671,126.6148993,18,18,292.54,"인천광역시 검단구 보듬로 158 정문지상주차장 01-09 , 후문 지상주차장 10-18"
EP200306,인천 천서리횟집,강화군,37.7010244,126.3766937,2,0,287.13,인천광역시 강화군 내가면 해안서로 917-1 구내주차장
PL005264,더위크앤리조트,중구,37.4511295,126.3711612,5,0,282.75,인천광역시 영종구 용유서로 379
CV001273,인천 교직원수련원(영종도),중구,37.4502083,126.3741414,1,1,282.75,인천광역시 영종구 용유서로 358 인천 교직원수련원
HU320015,주안스마트테크노타워,서구,37.4806258,126.6805198,6,6,282.22,인천광역시 서해구 백범로 681 스마트테크노타워 지상 9층 옥상주차장
ICIA0078,인천공항 동력동A 주차장,중구,37.44792,126.46137,2,0,281.89,인천광역시 영종구 운서동 2851-208 주차장 진입 후 오른쪽
PI320062,인천시 강화군 참맛있게식당,강화군,37.70179304,126.3735839,2,2,280.06,인천광역시 강화군 내가면 해안서로 949 주차장
EZ001837,별장펜션,강화군,37.7039442,126.3752456,1,1,280.06,인천광역시 강화군 내가면 해안서로918번길 9-21 주차장
ICIA0079,인천공항 제3배전변전소 주차장,중구,37.44149,126.4489,4,0,279.56,인천광역시 영종구 운서동 2851-54 주차장 진입 후 오른쪽
CV001274,인천 교직원수련원(선재도),옹진군,37.237359,126.534054,1,1,279.2,인천광역시 옹진군 영흥면 선재로34번길 197 인천 교직원수련원
CV001964,한국도로교통공단 인천운전면허시험장,남동구,37.3841423,126.7073781,9,9,278.64,"인천광역시 남동구 아암대로 1247 (고잔동, 인천운전면허시험장) 지상1층 정문 우측 주차장"
PK000356,송도차고지,연수구,37.36676,126.66584,31,0,271.81,인천광역시 연수구 송도바이오대로 277 (송도동) 송도차고지 차고지 안쪽
EZ001777,윈크린,서구,37.5896381,126.6444673,2,2,271.39,인천광역시 검단구 검단로326번길 35-47 입구 우측 주차면
KP003099,인천항 갑문홍보관,중구,37.4671121644,126.6041435721,1,1,268.56,인천광역시 제물포구 북성동1가 102-4
CV003957,국립인천해양박물관,중구,37.4705843,126.5968162,4,4,267.59,"인천광역시 제물포구 월미로 294 (북성동1가, 국립인천해양박물관) 지상1층 주차장"
TS287102,인천화개정원,강화군,37.781696,126.29241,19,19,265.76,인천광역시 강화군 교동면 교동동로471번길 6-58 인천화개정원
ME19A259,인천환경공단 가좌사업소,서구,37.4978561,126.64765399999,2,2,265.27,인천광역시 서해구 중봉대로211
ME24B209,인천환경공단 가좌사업소,서구,37.496672,126.645047,2,2,265.27,인천광역시 서해구 중봉대로211
